ID,type,start,end,duration,mean_acc_1min_before,mean_acc_1min_after
sample.cwa,sib,2014-05-11T22:59:00Z,2014-05-11T23:04:20Z,5.41666666666667,3.075,4.617
sample.cwa,sib,2014-05-11T23:07:30Z,2014-05-11T23:19:50Z,12.4166666666667,6.408,84.008
sample.cwa,sib,2014-05-12T07:15:15Z,2014-05-12T07:15:15Z,0.0833333333333333,3.4,105.808
sample.cwa,sib,2014-05-12T16:41:15Z,2014-05-12T16:47:00Z,5.83333333333333,14.183,11.75
sample.cwa,sib,2014-05-12T17:13:45Z,2014-05-12T17:19:50Z,6.16666666666667,9.367,3.9
sample.cwa,sib,2014-05-12T22:00:50Z,2014-05-12T22:09:00Z,8.25,4.908,6.708
sample.cwa,sib,2014-05-12T22:46:10Z,2014-05-12T22:54:00Z,7.91666666666667,18.358,4
sample.cwa,sib,2014-05-13T07:02:10Z,2014-05-13T07:02:10Z,0.0833333333333333,1.892,6.733
sample.cwa,sib,2014-05-13T07:06:00Z,2014-05-13T07:13:00Z,7.08333333333333,1.417,16.158
sample.cwa,sib,2014-05-13T07:32:35Z,2014-05-13T07:41:30Z,9,137.458,89.467
